type,duration,end_time
public,0.165140867233,13:36:39
public,0.101691007614,13:55:56
public,0.675224065781,13:56:01
close,0.607618093491,13:56:02
public,4.26144790649,13:56:06
personal,0.809223890305,13:56:07
public,0.407016992569,13:56:07
personal,0.0579478740692,13:56:08
public,1.52269816399,13:56:14
personal,0.35946893692,13:56:14
public,0.66573882103,13:56:21
personal,1.64108419418,13:56:23
public,1.96569085121,13:56:29
normal,1.003428936,13:56:30
public,1.4296901226,13:56:35
personal,0.608340978622,13:56:36
public,0.945955991745,13:57:02
personal,0.384054899216,13:57:03
public,2.49019098282,13:57:48
personal,1.21770000458,13:57:49
public,2.67638111115,13:57:56
close,0.423296928406,13:57:56
public,0.448268890381,13:57:57
personal,0.576235055923,13:57:57
public,0.820349931717,13:57:58
personal,0.0304970741272,13:57:59
public,4.69793319702,13:58:05
normal,1.01454210281,13:58:06
public,4.64455485344,13:58:13
normal,0.1296479702,13:58:13
public,0.306203126907,13:58:30
personal,0.366950035095,13:58:31
public,0.988104104996,13:58:34
personal,0.588870048523,13:58:34
public,0.33994603157,13:59:29
personal,0.652907133102,13:59:30
public,0.0354449748993,13:59:32
close,0.40545296669,13:59:32
public,0.507012844086,13:59:51
personal,0.0863308906555,13:59:53
public,2.22444581985,13:59:56
close,0.143929958344,13:59:57
public,1.62658691406,13:59:59
normal,0.808871030807,14:00:00
public,4.36566305161,14:00:36
personal,0.431898117065,14:00:36
public,9.59525895119,14:01:04
personal,0.403489112854,14:01:05
public,0.385027885437,14:01:43
normal,0.446624994278,14:01:44
personal,0.347827911377,14:01:44
public,1.2523329258,14:01:59
personal,0.541757822037,14:02:00
public,1.61838006973,14:02:02
personal,0.532495975494,14:02:03
close,0.608506202698,14:02:03
public,1.9080080986,14:02:14
personal,0.612336158752,14:02:14
public,2.2244951725,14:02:17
normal,0.406071186066,14:02:17
public,3.87707591057,14:02:22
close,1.09189891815,14:02:23
public,4.81564998627,14:02:28
personal,0.834892988205,14:02:29
public,0.965349912643,14:02:37
close,0.875895023346,14:02:38
public,0.141474962234,14:02:47
personal,1.01463198662,14:02:48
public,0.474184989929,14:02:49
personal,0.234266042709,14:02:50
public,0.435869932175,14:02:52
personal,0.0134711265564,14:02:52
public,1.28694701195,14:03:13
personal,0.718909025192,14:03:14
public,0.371135950089,14:03:27
personal,0.816805124283,14:03:28
public,0.60343003273,14:03:41
personal,0.335982084274,14:03:41
public,2.53002405167,14:03:58
personal,0.596570968628,14:03:58
public,2.10346698761,14:04:05
personal,0.263199090958,14:04:07
public,0.0856111049652,14:04:10
public,1.18644499779,14:04:24
personal,1.07387018204,14:04:25
public,4.6414539814,14:04:41
close,1.03770685196,14:04:42
public,2.48996305466,14:04:46
personal,0.341917991638,14:04:46
public,0.409167051315,14:04:47
personal,1.41639304161,14:04:48
public,2.48827505112,14:05:18
close,0.117614984512,14:05:20
normal,1.62372994423,14:05:21
public,0.930912971497,14:05:22
personal,0.399741888046,14:05:23
public,9.62673902512,14:05:42
close,0.249338150024,14:05:42
normal,0.245236158371,14:05:43
public,0.190681934357,14:06:06
personal,0.0342121124268,14:06:07
public,3.21530199051,14:06:37
normal,0.160794019699,14:06:38
public,0.336611032486,14:06:43
normal,0.125360012054,14:06:44
public,0.338035106659,14:06:49
close,0.815644025803,14:06:50
public,1.32072401047,14:07:00
close,0.119858026505,14:07:01
public,0.492922067642,14:07:13
close,0.608752965927,14:07:14
normal,0.652572154999,14:07:15
close,0.0836861133575,14:07:20
normal,0.52426981926,14:07:21
close,1.41522693634,14:07:23
normal,0.45182800293,14:07:24
close,0.759171009064,14:07:29
public,0.311856985092,14:07:29
personal,0.48265504837,14:07:30
public,0.466265916824,14:07:51
personal,0.000103950500488,14:07:52
public,0.131164073944,14:08:36
personal,0.200653076172,14:08:37
public,0.0578339099884,14:09:15
personal,0.982271909714,14:09:16
public,0.454870939255,14:09:19
personal,0.407550811768,14:09:19
public,0.16085100174,14:10:06
personal,0.730937004089,14:10:07
public,1.49448490143,14:10:17
personal,0.0573799610138,14:10:17
public,0.0523729324341,14:20:30
public,4.98294830322e-05,14:23:09
public,0.846598863602,14:23:28
personal,0.0498697757721,14:23:28
public,0.350497961044,14:24:12
personal,1.62563300133,14:24:14
public,3.70663094521,14:24:29
personal,0.114842891693,14:24:29
normal,0.315295934677,14:24:30
personal,0.809091806412,14:24:31
public,0.404642105103,14:24:31
personal,0.608667850494,14:24:32
public,3.12982177734,14:24:41
personal,0.0855441093445,14:24:42
public,0.0781469345093,14:24:47
personal,0.61154294014,14:24:48
public,0.19056892395,14:24:52
personal,0.274049043655,14:24:53
public,4.49934697151,14:25:14
personal,0.0264060497284,14:25:15
public,0.234230041504,14:25:19
personal,0.63898396492,14:25:19
public,0.598276853561,14:25:46
personal,0.283648014069,14:25:47
public,0.498669862747,14:26:22
personal,0.605667829514,14:26:23
public,1.27126908302,14:26:48
